model,backend,run,words,num_predict,seconds
llama3.2:3b,GPU,1,30,128,0.6346335639991594
llama3.2:3b,CPU,1,30,128,3.5616526279991376
llama3.2:3b,GPU,2,30,128,0.7969046560010611
llama3.2:3b,CPU,2,30,128,3.3694850279989623
llama3.2:3b,GPU,3,30,128,0.6528714020005282
llama3.2:3b,CPU,3,30,128,2.4532302740008163
llama3.2:3b,GPU,4,30,128,0.7597818920003192
llama3.2:3b,CPU,4,30,128,3.3936218340004416
llama3.2:3b,GPU,5,30,128,0.7404473140013579
llama3.2:3b,CPU,5,30,128,3.254994576000172
llama3.2:3b,GPU,1,32,128,0.7422717350000312
llama3.2:3b,CPU,1,32,128,2.868381488000523
llama3.2:3b,GPU,2,32,128,0.7496413200005918
llama3.2:3b,CPU,2,32,128,2.674422281999796
llama3.2:3b,GPU,3,32,128,0.9615731829999277
llama3.2:3b,CPU,3,32,128,6.621375826000076
llama3.2:3b,GPU,4,32,128,0.7614566829997784
llama3.2:3b,CPU,4,32,128,3.458088579000105
llama3.2:3b,GPU,5,32,128,0.7098182720001205
llama3.2:3b,CPU,5,32,128,6.70185761600078
llama3.2:3b,GPU,1,34,128,0.833767127000101
llama3.2:3b,CPU,1,34,128,3.6075155990001804
llama3.2:3b,GPU,2,34,128,0.7360320879997744
llama3.2:3b,CPU,2,34,128,3.5350998989997606
llama3.2:3b,GPU,3,34,128,0.7925077920008334
llama3.2:3b,CPU,3,34,128,3.779121679999662
llama3.2:3b,GPU,4,34,128,0.7167249220001395
llama3.2:3b,CPU,4,34,128,3.0608506850003323
llama3.2:3b,GPU,5,34,128,0.9012414289991284
llama3.2:3b,CPU,5,34,128,3.136860335000165
llama3.2:3b,GPU,1,36,128,0.8440954139987298
llama3.2:3b,CPU,1,36,128,2.9444949770004314
llama3.2:3b,GPU,2,36,128,0.6663753590000852
llama3.2:3b,CPU,2,36,128,3.509387763000632
llama3.2:3b,GPU,3,36,128,0.7659768789999362
llama3.2:3b,CPU,3,36,128,3.5586860760013224
llama3.2:3b,GPU,4,36,128,0.746672111999942
llama3.2:3b,CPU,4,36,128,3.54214848599986
llama3.2:3b,GPU,5,36,128,0.6598949199997151
llama3.2:3b,CPU,5,36,128,2.1599867469994933
llama3.2:3b,GPU,1,38,128,0.9451696950000041
llama3.2:3b,CPU,1,38,128,3.1619504390000657
llama3.2:3b,GPU,2,38,128,0.7468737210001564
llama3.2:3b,CPU,2,38,128,6.674784676000854
llama3.2:3b,GPU,3,38,128,0.6566779439999664
llama3.2:3b,CPU,3,38,128,3.590966846999436
llama3.2:3b,GPU,4,38,128,0.6191727509994962
llama3.2:3b,CPU,4,38,128,2.6206824780001625
llama3.2:3b,GPU,5,38,128,0.6577148160013166
llama3.2:3b,CPU,5,38,128,3.509534550999888
llama3.2:3b,GPU,1,40,128,0.846501261999947
llama3.2:3b,CPU,1,40,128,3.7176733249998506
llama3.2:3b,GPU,2,40,128,0.787760339999295
llama3.2:3b,CPU,2,40,128,3.240055444999598
llama3.2:3b,GPU,3,40,128,0.9127406670013443
llama3.2:3b,CPU,3,40,128,3.521147915998881
llama3.2:3b,GPU,4,40,128,0.7726423580006667
llama3.2:3b,CPU,4,40,128,2.3553231829992
llama3.2:3b,GPU,5,40,128,0.5733881090000068
llama3.2:3b,CPU,5,40,128,3.2329843799998343
llama3.2:3b,GPU,1,42,128,0.8531861310002569
llama3.2:3b,CPU,1,42,128,3.7576737880008295
llama3.2:3b,GPU,2,42,128,0.8434076679986902
llama3.2:3b,CPU,2,42,128,3.5364524479991815
llama3.2:3b,GPU,3,42,128,0.7325656760003767
llama3.2:3b,CPU,3,42,128,3.300573043999975
