backend,model_size,words,mean_sec,median_sec,min_sec,max_sec,std_sec,count,machine,test_name
CPU,3b,10,4.4535298880189655,3.896972454153001,3.689942191820592,5.91340888524428,0.9990008559639378,5,Machine_B,Test9
CPU,3b,12,6.5153256399557,6.347979038953781,5.089431950822473,7.697303134016693,1.0483679649120663,5,Machine_B,Test9
CPU,3b,14,2.797324154339731,2.927396398037672,2.2813215209171176,2.939304369967431,0.2887519674812511,5,Machine_B,Test9
CPU,3b,16,4.249794312659651,4.025709885172546,3.10494003072381,5.656564657110721,0.926510934514431,5,Machine_B,Test9
CPU,3b,18,7.384201182238757,6.845141754951328,6.32436567125842,8.48197658918798,1.0028255500572265,5,Machine_B,Test9
CPU,3b,20,6.5334917404688895,6.527903159148991,5.407421295065433,7.704506856855005,0.827123640383919,5,Machine_B,Test9
CPU,3b,22,6.865848345588892,7.031008941121399,5.437940829899162,7.821917560882866,0.8708158484825004,5,Machine_B,Test9
CPU,3b,24,6.870721153821796,6.856013898272067,6.276361626107246,7.617213245946914,0.5512983509795416,5,Machine_B,Test9
CPU,3b,26,6.870372890401631,6.968362845946103,5.834666776936501,7.737169920001179,0.6880315716976662,5,Machine_B,Test9
CPU,3b,28,7.77493824083358,6.749439812730998,5.658992120996118,12.55745153222233,2.7690780234289747,5,Machine_B,Test9
CPU,3b,30,7.951553230918944,6.942433821968734,5.114452173002064,14.090808245819062,3.5394904230966326,5,Machine_B,Test9
CPU,3b,32,7.292438395321369,6.928706352133304,5.665562293957919,10.908970335032793,2.150609253001445,5,Machine_B,Test9
CPU,3b,34,6.5582593661732975,6.643000145908445,4.9157317550852895,7.322899654041976,0.9804102076371738,5,Machine_B,Test9
CPU,3b,36,6.621493566967547,6.6470837676897645,5.6679901806637645,7.29528947500512,0.5951859232036867,5,Machine_B,Test9
CPU,3b,38,6.690679287072271,7.300047805067152,5.664617690257728,7.325759021099657,0.8502771255079753,5,Machine_B,Test9
