model,backend,run,words,num_predict,seconds
llama3.2:3b,GPU,1,30,128,1.0567479609999282
llama3.2:3b,CPU,1,30,128,2.581534138999814
llama3.2:3b,GPU,2,30,128,0.5384302719999141
llama3.2:3b,CPU,2,30,128,2.167699922999873
llama3.2:3b,GPU,3,30,128,1.0487368150002112
llama3.2:3b,CPU,3,30,128,2.2065951089998634
llama3.2:3b,GPU,4,30,128,0.4552749889999177
llama3.2:3b,CPU,4,30,128,2.4985334290004175
llama3.2:3b,GPU,5,30,128,0.5516847170001711
llama3.2:3b,CPU,5,30,128,2.615173030999813
llama3.2:3b,GPU,1,32,128,0.6916372150003554
llama3.2:3b,CPU,1,32,128,4.834995144000004
llama3.2:3b,GPU,2,32,128,0.4913552990001335
llama3.2:3b,CPU,2,32,128,1.8099761409998791
llama3.2:3b,GPU,3,32,128,0.4319271480003408
llama3.2:3b,CPU,3,32,128,1.8782398500002273
llama3.2:3b,GPU,4,32,128,1.051655245999882
llama3.2:3b,CPU,4,32,128,1.7713550829998894
llama3.2:3b,GPU,5,32,128,0.44541296100032923
llama3.2:3b,CPU,5,32,128,1.8714239740002085
llama3.2:3b,GPU,1,34,128,0.49413234399980865
llama3.2:3b,CPU,1,34,128,4.826742169000227
llama3.2:3b,GPU,2,34,128,1.0493865050002569
llama3.2:3b,CPU,2,34,128,2.4576600899999903
llama3.2:3b,GPU,3,34,128,0.4346188499998789
llama3.2:3b,CPU,3,34,128,1.8817401219998828
llama3.2:3b,GPU,4,34,128,0.48250048699992476
llama3.2:3b,CPU,4,34,128,2.3585149069999716
llama3.2:3b,GPU,5,34,128,0.5405779040002017
llama3.2:3b,CPU,5,34,128,2.4689083020002727
llama3.2:3b,GPU,1,36,128,0.49777717000006305
llama3.2:3b,CPU,1,36,128,2.1828557249996265
llama3.2:3b,GPU,2,36,128,0.48675911400005134
llama3.2:3b,CPU,2,36,128,3.0315180990000954
llama3.2:3b,GPU,3,36,128,0.538064640000357
llama3.2:3b,CPU,3,36,128,2.3269389880001654
llama3.2:3b,GPU,4,36,128,1.0483104489999278
llama3.2:3b,CPU,4,36,128,2.4814809579997927
llama3.2:3b,GPU,5,36,128,0.4728721509995921
llama3.2:3b,CPU,5,36,128,2.7088260739997168
llama3.2:3b,GPU,1,38,128,0.5067697120002777
llama3.2:3b,CPU,1,38,128,2.0352005549998466
llama3.2:3b,GPU,2,38,128,0.4863085419997333
llama3.2:3b,CPU,2,38,128,2.2492181570000866
llama3.2:3b,GPU,3,38,128,0.48499158999993597
llama3.2:3b,CPU,3,38,128,2.245257914999911
llama3.2:3b,GPU,4,38,128,0.43178077999982634
llama3.2:3b,CPU,4,38,128,1.9914696109999568
llama3.2:3b,GPU,5,38,128,0.5011034819999622
llama3.2:3b,CPU,5,38,128,2.0027184519999537
llama3.2:3b,GPU,1,40,128,0.5390218649999952
llama3.2:3b,CPU,1,40,128,2.006672057000287
llama3.2:3b,GPU,2,40,128,1.0431915589997516
llama3.2:3b,CPU,2,40,128,2.280788456999744
llama3.2:3b,GPU,3,40,128,0.43779824400007783
llama3.2:3b,CPU,3,40,128,4.799340491999828
llama3.2:3b,GPU,4,40,128,0.4379602799999702
llama3.2:3b,CPU,4,40,128,2.1331245129999843
llama3.2:3b,GPU,5,40,128,0.4799594490000345
llama3.2:3b,CPU,5,40,128,2.347550186999797
llama3.2:3b,GPU,1,42,128,0.4919251579999582
llama3.2:3b,CPU,1,42,128,2.0677327460002743
llama3.2:3b,GPU,2,42,128,0.5298716639999839
llama3.2:3b,CPU,2,42,128,2.174293027999738
llama3.2:3b,GPU,3,42,128,0.5133574460001
llama3.2:3b,CPU,3,42,128,4.80445098600012
llama3.2:3b,GPU,4,42,128,0.6163330429999405
llama3.2:3b,CPU,4,42,128,4.700271540999893
llama3.2:3b,GPU,5,42,128,0.46253771200008487
llama3.2:3b,CPU,5,42,128,1.809949663000225
llama3.2:3b,GPU,1,44,128,1.0538996380000754
llama3.2:3b,CPU,1,44,128,2.7671500540000125
llama3.2:3b,GPU,2,44,128,0.45811158299966337
llama3.2:3b,CPU,2,44,128,2.1054357009998057
llama3.2:3b,GPU,3,44,128,0.4409464730001673
llama3.2:3b,CPU,3,44,128,2.03038059399978
llama3.2:3b,GPU,4,44,128,0.485198395000225
llama3.2:3b,CPU,4,44,128,1.8024029979997067
llama3.2:3b,GPU,5,44,128,0.4500138359999255
llama3.2:3b,CPU,5,44,128,2.656613754999853
llama3.2:3b,GPU,1,46,128,0.4598532710001564
llama3.2:3b,CPU,1,46,128,2.4341331949999585
llama3.2:3b,GPU,2,46,128,0.5444949340003404
llama3.2:3b,CPU,2,46,128,1.8451402729997426
llama3.2:3b,GPU,3,46,128,0.45449926699984644
llama3.2:3b,CPU,3,46,128,4.813288374999956
llama3.2:3b,GPU,4,46,128,0.45802960900027756
llama3.2:3b,CPU,4,46,128,4.811589357999765
llama3.2:3b,GPU,5,46,128,1.0423585829998956
llama3.2:3b,CPU,5,46,128,1.8443688530001054
llama3.2:3b,GPU,1,48,128,0.8502443599995786
llama3.2:3b,CPU,1,48,128,1.8783984250003414
llama3.2:3b,GPU,2,48,128,0.8346236919996954
llama3.2:3b,CPU,2,48,128,2.4022450649999882
llama3.2:3b,GPU,3,48,128,0.5002390839999862
llama3.2:3b,CPU,3,48,128,2.0686272689999896
llama3.2:3b,GPU,4,48,128,0.4487189449996549
llama3.2:3b,CPU,4,48,128,2.3641903230000025
llama3.2:3b,GPU,5,48,128,0.5669079879999117
llama3.2:3b,CPU,5,48,128,3.6955883529999483
llama3.2:3b,GPU,1,50,128,0.5171079339997959
llama3.2:3b,CPU,1,50,128,2.408593151000332
llama3.2:3b,GPU,2,50,128,0.5114720070000658
llama3.2:3b,CPU,2,50,128,2.0732580549997692
llama3.2:3b,GPU,3,50,128,0.6768180910003139
llama3.2:3b,CPU,3,50,128,2.4010748309997325
llama3.2:3b,GPU,4,50,128,0.5142603449999115
llama3.2:3b,CPU,4,50,128,2.4370160809999106
llama3.2:3b,GPU,5,50,128,0.5744603540001663
llama3.2:3b,CPU,5,50,128,2.1430451700002777
llama3.2:3b,GPU,1,52,128,0.5590497749999486
llama3.2:3b,CPU,1,52,128,2.4829958640002587
llama3.2:3b,GPU,2,52,128,0.5964747439998064
llama3.2:3b,CPU,2,52,128,2.1839262829998916
llama3.2:3b,GPU,3,52,128,0.4549535860001015
llama3.2:3b,CPU,3,52,128,2.8875822630002403
llama3.2:3b,GPU,4,52,128,0.5883140470000399
llama3.2:3b,CPU,4,52,128,1.8557565179999074
llama3.2:3b,GPU,5,52,128,0.6325671709996641
llama3.2:3b,CPU,5,52,128,2.9962784879999163
llama3.2:3b,GPU,1,54,128,0.5616004829998928
llama3.2:3b,CPU,1,54,128,2.1127763959998447
llama3.2:3b,GPU,2,54,128,0.471169990999897
llama3.2:3b,CPU,2,54,128,3.708308890999888
llama3.2:3b,GPU,3,54,128,0.4518406839997624
llama3.2:3b,CPU,3,54,128,2.3700047190000078
llama3.2:3b,GPU,4,54,128,0.5159161589999712
llama3.2:3b,CPU,4,54,128,2.0320306280000295
llama3.2:3b,GPU,5,54,128,0.513003776000005
llama3.2:3b,CPU,5,54,128,1.7890951180002048
llama3.2:3b,GPU,1,56,128,0.5592228309997154
llama3.2:3b,CPU,1,56,128,2.589771574000224
llama3.2:3b,GPU,2,56,128,0.5369840270000168
llama3.2:3b,CPU,2,56,128,2.3659633789998225
llama3.2:3b,GPU,3,56,128,0.552942794000046
llama3.2:3b,CPU,3,56,128,3.8656859010002336
llama3.2:3b,GPU,4,56,128,0.5837745339999856
llama3.2:3b,CPU,4,56,128,2.3354496020001534
llama3.2:3b,GPU,5,56,128,0.5008601300000919
llama3.2:3b,CPU,5,56,128,2.3695223069998974
llama3.2:3b,GPU,1,58,128,0.5423822849998032
llama3.2:3b,CPU,1,58,128,4.174571733999983
llama3.2:3b,GPU,2,58,128,0.595742687999973
llama3.2:3b,CPU,2,58,128,2.4488847569996324
llama3.2:3b,GPU,3,58,128,0.6008137769999848
llama3.2:3b,CPU,3,58,128,2.4828308210003343
